role;idPer;idObra;
actor;10854;1744;
actor;10854;2004;
actor;10854;2177;
actor;10854;2291;
actor;10854;2341;
actor;10854;245;
actor;10854;2595;
actor;10854;2898;
actor;10854;2910;
actor;10854;3108;
actor;10854;3130;
actor;10854;3156;
actor;10854;3190;
actor;10854;3274;
actor;10854;3549;
actor;10854;3576;
actor;10854;3620;
actor;10854;3699;
actor;10854;3;
actor;10854;476;
actor;10854;4779;
actor;10854;5338;
actor;10854;5544;
actor;10854;5644;
actor;1085;984;
actor;10862;174;
actor;10866;3456;
actor;10867;274;
actor;10869;693;
actor;1086;2072;
actor;10870;1566;
actor;10875;129;
actor;10876;1429;
actor;10876;1754;
actor;10876;317;
actor;10876;5302;
actor;10878;791;
actor;10879;1330;
actor;10879;1387;
actor;10879;1552;
actor;10879;161;
actor;10879;1900;
actor;10879;2326;
actor;10879;2415;
actor;10879;2796;
actor;10879;2884;
actor;10879;288;
actor;10879;2924;
actor;10879;2954;
actor;10879;29;
actor;10879;3322;
actor;10879;3743;
actor;10879;3820;
actor;10879;3970;
actor;10879;4016;
actor;10879;4338;
actor;10879;4922;
actor;10879;4998;
actor;10879;5093;
actor;10879;5380;
actor;10879;672;
actor;10879;687;
actor;10880;108;
actor;10880;1338;
actor;10880;2213;
actor;10880;3067;
actor;10880;325;
actor;10880;3729;
actor;10880;4118;
actor;10880;4510;
actor;10880;5185;
actor;10880;686;
actor;10880;756;
actor;10881;2650;
actor;10885;275;
actor;10886;4129;
actor;10889;1504;
actor;1088;1411;
actor;10892;5330;
actor;10894;3265;
actor;10895;1225;
actor;10901;1024;
actor;10903;3416;
actor;10912;3815;
actor;10916;3755;
actor;10916;951;
actor;10919;2729;
actor;10919;2803;
actor;10919;3555;
actor;1091;4219;
actor;10920;1495;
actor;10920;1897;
actor;10920;2012;
actor;10920;2415;
actor;10920;2499;
actor;10920;253;
actor;10920;2729;
actor;10920;2803;
actor;10920;2912;
actor;10920;2930;
actor;10920;3083;
actor;10920;3102;
actor;10920;3138;
actor;10920;31;
actor;10920;3329;
actor;10920;3333;
actor;10920;3555;
actor;10920;3570;
actor;10920;3721;
actor;10920;3761;
actor;10920;4123;
actor;10920;430;
actor;10920;4798;
actor;10920;4982;
actor;10920;5289;
actor;10920;5348;
actor;10920;5498;
actor;10920;929;
actor;10924;2729;
actor;10929;1209;
actor;10929;1394;
actor;10929;1955;
actor;10929;2725;
actor;10929;2956;
actor;10929;2;
actor;10932;4991;
actor;10933;1394;
actor;10934;1108;
actor;10934;1670;
actor;10934;2523;
actor;10934;2588;
actor;10934;2825;
actor;10934;305;
actor;10934;3089;
actor;10934;3207;
actor;10934;3334;
actor;10934;3470;
actor;10934;3740;
actor;10934;3802;
actor;10934;4480;
actor;10934;5413;
actor;10934;723;
actor;10938;2825;
actor;1093;2706;
actor;1093;4601;
actor;10945;1362;
actor;10945;1393;
actor;10945;1789;
actor;10945;1918;
actor;10945;2326;
actor;10945;3275;
actor;10945;4830;
actor;10945;4928;
actor;10945;5096;
actor;10948;2948;
actor;1094;1302;
actor;10953;2318;
actor;10953;3039;
actor;10959;1209;
actor;1095;1330;
actor;1095;1519;
actor;1095;1617;
actor;1095;1650;
actor;1095;2917;
actor;1095;3002;
actor;1095;3207;
actor;1095;341;
actor;1095;383;
actor;1095;4069;
actor;1095;4266;
actor;1095;5154;
actor;1095;5202;
actor;10963;1911;
actor;10963;2376;
actor;10963;2491;
actor;10963;2779;
actor;10963;3618;
actor;10963;5341;
actor;10968;1940;
actor;10969;1209;
actor;1096;176;
actor;10971;971;
actor;10974;5127;
actor;1097;2146;
actor;10981;1221;
actor;10988;979;
actor;11001;3097;
actor;11002;1556;
actor;11006;623;
actor;11007;1562;
actor;11008;189;
actor;11009;2635;
actor;11015;1411;
actor;11018;2265;
actor;11019;1309;
actor;11019;1402;
actor;11019;1950;
actor;11019;1951;
actor;11019;2228;
actor;11019;2525;
actor;11019;4096;
actor;11019;4718;
actor;11019;983;
actor;1101;2877;
actor;11022;1446;
actor;11022;1636;
actor;11022;1857;
actor;11022;4067;
actor;11022;5673;
actor;11024;4841;
actor;11025;2440;
actor;11025;3725;
actor;11025;4739;
actor;11026;1078;
actor;11026;2449;
actor;11026;2726;
actor;11026;3014;
actor;11026;3055;
actor;11026;3245;
actor;11026;3408;
actor;11027;403;
actor;11028;1103;
actor;11028;1237;
actor;11028;262;
actor;11028;3554;
actor;11028;4463;
actor;11028;779;
actor;11029;2214;
actor;1102;2451;
actor;11031;1888;
actor;11032;2877;
actor;11033;1240;
actor;11034;521;
actor;11037;5607;
actor;11038;2214;
actor;11039;2444;
actor;11041;3414;
actor;11044;3030;
actor;11046;791;
actor;11047;4091;
actor;11048;4894;
actor;11049;2877;
actor;11050;4852;
actor;11055;3048;
actor;11055;3964;
actor;11055;4961;
actor;11055;5279;
actor;11056;3097;
actor;11057;607;
actor;11059;832;
actor;1105;5319;
actor;11065;2954;
actor;1106;4037;
actor;11070;1811;
actor;11071;1681;
actor;11071;3650;
actor;11071;4555;
actor;11071;5143;
actor;11071;5256;
actor;11072;2411;
actor;11073;2291;
actor;11073;2411;
actor;11073;2428;
actor;11073;3229;
actor;11073;3304;
actor;11073;3546;
actor;11073;3944;
actor;11073;4102;
actor;11073;4779;
actor;11075;3963;
actor;11079;4308;
actor;11086;3374;
actor;11086;3805;
actor;11092;2419;
actor;11094;3542;
actor;11095;100;
actor;11095;2260;
actor;11095;5615;
actor;11096;1812;
actor;11096;3416;
actor;11097;4400;
actor;11097;708;
actor;11098;1410;
actor;1109;4739;
actor;11100;1564;
actor;11105;4026;
actor;11108;1045;
actor;11108;1069;
actor;11108;11;
actor;11108;1211;
actor;11108;1249;
actor;11108;1291;
actor;11108;1394;
actor;11108;1420;
actor;11108;14;
actor;11108;1633;
actor;11108;1784;
actor;11108;1814;
actor;11108;1831;
actor;11108;198;
actor;11108;230;
actor;11108;2332;
actor;11108;2473;
actor;11108;24;
actor;11108;2531;
actor;11108;2798;
actor;11108;2947;
actor;11108;2963;
actor;11108;310;
actor;11108;3179;
actor;11108;3200;
actor;11108;3262;
actor;11108;3281;
actor;11108;3338;
actor;11108;3493;
actor;11108;3605;
actor;11108;3649;
actor;11108;3662;
actor;11108;3680;
actor;11108;3709;
actor;11108;38;
actor;11108;39;
actor;11108;4096;
actor;11108;40;
actor;11108;41;
actor;11108;4298;
actor;11108;42;
actor;11108;4390;
actor;11108;43;
